State,Element,Value,Units,BegDate,EndDate,Location,Station ID,Status,Notes
"Alabama","All-Time Maximum Temperature",112,"degrees F",19250906,19250906,"Centerville",011520,E,
"Alabama","All-Time Minimum Temperature",-27,"degrees F",19660130,19660130,"New Market",015867,E,
"Alabama","All-Time Greatest 24-Hour Precipitation",32.52,"inches",19970719,19970720,"Dauphin Island Sea Lab",012172,EA,"Although higher amounts have been observed in other states, the 32.52 inches of rainfall that was observed in 24-hrs over July 19-20, 1997 at Dauphin Island Sea Lab in conjunction with Hurricane Danny is the greatest 24-hr rainfall that has been directly observed at an officially established observation station within the coterminous United States."
"Alabama","All-Time Maximum 24-Hour Snowfall",20,"inches",19930313,19930313,"Walunt Grove",018648,N,
"Alabama","All-Time Maximum Snow Depth",22,"inches",19400124,19400124,"Reform",016847,N,
"Alabama","Hail: Weight",0.6125,"pounds",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Circumference",13.75,"inches",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Diameter",5.38,"inches",20180319,20180319,"Walter",N/A,NSA,""
"Alabama","Hail: Volume",19.8,"cubic inches",20180319,20180319,"Walter",N/A,NSA,""
"Alaska","All-Time Maximum Temperature",100,"degrees F",19150627,19150627,"Fort Yukon",26413,E,
"Alaska","All-Time Minimum Temperature",-80,"degrees F",19710123,19710123,"Prospect Creek Camp",507778,E,
"Alaska","All-Time Greatest 24-Hour Precipitation",15.05,"inches",19861010,19861010,"Seward",26438,N,"The previously-listed state record of 15.2 inches at Angoon on October 12, 1982 was determined to be invalid by the SCEC, based largely on analysis that resulted in this Bulletin of the American Meteorological Society article."
"Alaska","All-Time Maximum 24-Hour Snowfall",78,"inches",19630209,19630209,"Mile 47 Camp",505878,N,
"Alaska","All-Time Maximum Snow Depth",192,"inches",20080411,20080411,"Valdez Municipal Airport",509685,N1,
"Alaska","All-Time Maximum Snow Depth",192,"inches",20080307,20080307,"Valdez Municipal Airport",509685,N1,
"Arizona","All-Time Maximum Temperature",128,"degrees F",19940629,19940629,"Lake Havasu City",024761,E,
"Arizona","All-Time Minimum Temperature",-40,"degrees F",19710107,19710107,"Hawley Lake",023926,E,
"Arizona","All-Time Greatest 24-Hour Precipitation",11.4,"inches",19700904,19700905,"Workman Creek",029534,E,
"Arizona","All-Time Maximum 24-Hour Snowfall",38,"inches",19870225,19870225,"Alpine",020170,N1,
"Arizona","All-Time Maximum 24-Hour Snowfall",38,"inches",19671214,19671214,"Heber Ranger Stn",023961,N1,
"Arizona","All-Time Maximum Snow Depth",91,"inches",19671221,19671221,"Hawley Lake",023926,N,
"Arkansas","All-Time Maximum Temperature",120,"degrees F",19360810,19360810,"Ozark",035508,E,
"Arkansas","All-Time Minimum Temperature",-29,"degrees F",19050213,19050213,"Brook Farm Pond (near Gravette)",032930,E,
"Arkansas","All-Time Greatest 24-Hour Precipitation",14.06,"inches",19821203,19821203,"Big Fork",030664,E,
"Arkansas","Maximum Annual Precipitation Total",101.05,"inches",20150101,20151231,"Big Fork 1 SSE",030664,NA,"This value exceeds the previous record of 100.05 inches at Leola (GHCN-Daily ID USC00034134; COOP ID 034134) from July 1, 2008 through June 30, 2009. The previous record was established by an ad hoc SCEC convened in February 2010, and replaced, in turn the previous record of 98.55 inches observed in New Hope in 1957."
"Arkansas","All-Time Maximum 24-Hour Snowfall",25,"inches",19180122,19180122,"Corning",031632,N,
"Arkansas","All-Time Maximum Snow Depth",26,"inches",19180122,19180122,"Calico Rock 2WSW",031132,N,
"California","All-Time Maximum Temperature",134,"degrees F",19130710,19130710,"Greenland Ranch",043603,E,
"California","All-Time Minimum Temperature",-45,"degrees F",19370120,19370120,"Boca",040931,E,
"California","All-Time Greatest 24-Hour Precipitation",25.83,"inches",19430122,19430123,"Hoegees Camp",044017,EA,"Hourly precipitation values for Hoegee's Campground (in the mountains outside Los Angeles) indicate the greatest 24-hour rainfall occurred between 1:00 AM on January 22nd to 1:00 AM on January 23rd. During that period, the storm delivered 25.83 inches (corrected from previous reports of 26.12 inches). A detailed post-storm report was produced by the Weather Bureau."
"California","All-Time Maximum 24-Hour Snowfall",67,"inches",19820105,19820105,"Echo Summit Sierra at Tahoe",042671,N,
"California","All-Time Maximum Snow Depth",451,"inches",19110311,19110311,"Tamarack",048781,E,
"California","Maximum Wind Gust",199,"mph",20170220,20170220,"Alpine Summit (Ward Mt)",SUMAM (MesoWest),SA,
"Colorado","All-Time Maximum Temperature",115,"degrees F",20190720,20190720,"John Martin Dam",054388,NA,"Replaces previous established record of 114 degrees F set at Las Animas on July 1, 1933 and tied at Sedgwick on July 11, 1954. Also, a 118 degrees F report that had persisted in the record books at Bennett, CO on July 11, 1888 was found to be a transcription error. Area temperatures were ~15-20 degrees cooler on that date.."
"Colorado","All-Time Minimum Temperature",-61,"degrees F",19850201,19850201,"Maybell",055446,E,
"Colorado","All-Time Greatest 24-Hour Precipitation",11.85,"inches",20130912,20130912,"USGS Rod & Gun (Ft. Carson)",USGS 384053104492001,NA,"Had a 9 AM to 9 AM observing period been used ending at 9 AM on September 13th, that the measurement would have been 12.46\". However, the SCEC chose to confirm the calendar-day value as the official record. In either case, the previously acknolwedged record of 11.08\" at Holly on June 17, 1965 was superseded."
"Colorado","All-Time Maximum 24-Hour Snowfall",75.8,"inches",19210414,19210415,"Silver Lake",057648,E,
"Colorado","All-Time Maximum Snow Depth",251,"inches",19790331,19790331,"Wolf Creek Pass 1E",059181,N,
"Colorado","Hail: Weight",0.53125,"pounds",20190813,20190813,"8 mi NNW of Bethune",,SA,
"Colorado","Hail: Circumference",12.875,"inches",20190813,20190813,"8 mi NNW of Bethune",,SA,
"Colorado","Hail: Diameter",4.83,"inches",20190813,20190813,"8 mi NNW of Bethune",,SA,
"Colorado","Hail: Volume",16.55,"cubic inches",20190813,20190813,"8 mi NNW of Bethune",,SA,
"Colorado","Lowest Mean Sea Level Pressure",970.4,"hPa",20190313,20190313,"Lamar",USW00003013,NSA,"This was the initial mean sea level pressure record established for any state. The SCEC report therefore contains several additional methodological considerations for future MSLP committees. More details are available in the report associated with this investigation."
"Connecticut","All-Time Maximum Temperature",106,"degrees F",19950715,19950715,"Danbury",061762,E1,
"Connecticut","All-Time Maximum Temperature",106,"degrees F",19160823,19160823,"Torrington",068438,E1,
"Connecticut","All-Time Minimum Temperature",-32,"degrees F",19610122,19610122,"Coventry",061689,E1,
"Connecticut","All-Time Minimum Temperature",-32,"degrees F",19430216,19430216,"Falls Village",062658,E1,
"Connecticut","All-Time Greatest 24-Hour Precipitation",12.77,"inches",19550819,19550819,"Burlington",060973,E,
"Connecticut","All-Time Maximum 24-Hour Snowfall",36,"inches",20130208,20130209,"Ansonia 1NE",060128,NSA,"The 24-hr snowfall at Ansonia 1NE was the result of a powerful blizzard which impacted the Tri-State Region. After the storm subsided, many locations around the region reported more than 30 inches of snow. The State Climate Extremes Committee verified the validity of the observation at Ansonia."
"Connecticut","All-Time Maximum Snow Depth",55,"inches",19610205,19610205,"Norfolk 2SW",065445,E,
"Delaware","All-Time Maximum Temperature",110,"degrees F",19300721,19300721,"Millsboro",076020,E,
"Delaware","All-Time Minimum Temperature",-17,"degrees F",18930117,18930117,"Millsboro",076020,E,
"Delaware","All-Time Greatest 24-Hour Precipitation",12.48,"inches",20160928,20160929,"Harbeson",DEOS Mesonet Station DWAR (NWSLI WARD1),NSA,"The Harbeson value replaced the previously reported record of 8.5 inches, set at Dover on 13 July 1975. However, the SCEC reviewing the Harbeson record determined that the Dover record had actually been exceeded twice between 1975 and the Harbeson event, during Tropical Storms Floyd (1999) and Irene (2011). More details are available in the report associated with this investigation."
"Delaware","All-Time Maximum 24-Hour Snowfall",25,"inches",19790219,19790219,"Dover",072730,E,
"Delaware","All-Time Maximum Seasonal (July-June) Snowfall",72.7,"inches",20090701,20100630,"Bear 2SW",071200,NSA,""
"Delaware","Monthly Maximum Snowfall",46.9,"inches",20100201,20100228,"Bear 2SW",071200,NSA,""
"Delaware","All-Time Maximum Snow Depth",28,"inches",20100207,20100207,"Greenwood 2.9 SE",CoCoRaHS DE-SS-7,NSA,"The Greenwood value replaced the previously reported record of 25 inches, set at Wilmington New Castle CO AP (13781) on 18 February, 2003 and Bridgeville 1 NW (071330) on 19 February 1979. More details are available in the associated report."
"Florida","All-Time Maximum Temperature",109,"degrees F",19310629,19310629,"Monticello",085879,E,
"Florida","All-Time Minimum Temperature",-2,"degrees F",18990213,18990213,"Tallahassee",088754,E,
"Florida","All-Time Greatest 24-Hour Precipitation",23.28,"inches",19801111,19801112,"Key West",12836,NA,"The previously reported extreme of 38.70 inches at Yankeetown on September 5, 1950 is an estimated depth of rainfall calculated as part of a post-storm survey of Hurricane Easy (Cedar Keys Hurricane). Value has historically been considered reasonably accurate (and even an underestimate of actual rain fall), but as an estimate cannot be considered an official observation from a reliable precipitation gauge."
"Florida","All-Time Maximum 24-Hour Snowfall",4,"inches",19540306,19540306,"Milton Exp. Stn.",085793,E,
"Florida","All-Time Maximum Snow Depth",4,"inches",19540306,19540306,"Milton Exp. Stn",085793,N,
"Georgia","All-Time Maximum Temperature",112,"degrees F",19830820,19830820,"Greenville 2 NNW",093915,E1,
"Georgia","All-Time Maximum Temperature",112,"degrees F",19520724,19520724,"Louisville",095314,E1,
"Georgia","All-Time Minimum Temperature",-17,"degrees F",19400127,19400127,"CCC Fire Camp F-16 (nr. Beatum)",,EA,"Record of -17 degrees F at Civilian Conservation Corps Logging Camp F-16 is congruent with similar low temperatures observed in the area on January 27, 1940. This observation is archived as part of the National Archives CCC collection."
"Georgia","All-Time Greatest 24-Hour Precipitation",21.1,"inches",19940706,19940706,"Americus",090253,E,
"Georgia","All-Time Maximum 24-Hour Snowfall",19.3,"inches",19420303,19420303,"Cedartown 3NE",091732,E,
"Georgia","All-Time Maximum Snow Depth",18,"inches",19930313,19930313,"Chatsworth 2",091863,N,
"Hawaii","All-Time Maximum Temperature",100,"degrees F",19310427,19310427,"Pahala (Hawaii)",517421,E,
"Hawaii","All-Time Minimum Temperature",12,"degrees F",19790517,19790517,"Mauna Kea Observatory (Hawaii)",516183,E,
"Hawaii","All-Time Greatest 24-Hour Precipitation",49.69,"inches",20180414,20180415,"Waip&#257; Garden (Kauai)",,NA,"This value exceeded the previous record of 38 inches, observed at Kilauea Sugar Co. Plantation on 24-25 January 1956, which itself was an estimate. The 2018 value also became the national record for 24-hour precipitation. View the associated National Climate Extremes Committee report. The members of the SCEC deferred to the NCEC findings."
"Hawaii","All-Time Maximum 24-Hour Snowfall",6.5,"inches",19360202,19360202,"Haleakali (Maui)",510992,N,
"Hawaii","All-Time Maximum Snow Depth",5,"inches",19380406,19380406,"Haleakali (Maui)",510992,N,
"Idaho","All-Time Maximum Temperature",118,"degrees F",19340728,19340728,"Orofino",106681,E,
"Idaho","All-Time Minimum Temperature",-60,"degrees F",19430118,19430118,"Island Park Dam",104598,E,
"Idaho","All-Time Greatest 24-Hour Precipitation",7.17,"inches",19091123,19091123,"Rattlesnake Creek",107545,E,
"Idaho","All-Time Maximum 24-Hour Snowfall",31,"inches",19671218,19671218,"Anderson Dam",100282,N,
"Idaho","All-Time Maximum Snow Depth",182,"inches",19540222,19540222,"Mullan Pass VOR/DME",24154,N1,
"Idaho","All-Time Maximum Snow Depth",182,"inches",19540220,19540220,"Mullan Pass VOR/DME",24154,N1,
"Illinois","All-Time Maximum Temperature",117,"degrees F",19540714,19540714,"East St. Louis",112614,E,
"Illinois","All-Time Minimum Temperature",-38,"degrees F",20190131,20190131,"Mt. Carroll",115901,NS,"This value exceeded the previous record of -36 degrees F, observed at Congerville on 5 January 1999."
"Illinois","All-Time Greatest 24-Hour Precipitation",16.91,"inches",19960718,19960718,"Aurora",110338,E,
"Illinois","All-Time Maximum 24-Hour Snowfall",36,"inches",19000228,19000228,"Astoria",110291,N,
"Illinois","All-Time Maximum Snow Depth",41,"inches",19790131,19790131,"Gebhard Woods St.Pk.",113369,N1,
"Illinois","All-Time Maximum Snow Depth",41,"inches",19000228,19000228,"Astoria",110291,N1,
"Illinois","Hail: Diameter",4.75,"inches",20150610,20150610,"2 mi NNW of Minooka",,SA,
"Indiana","All-Time Maximum Temperature",116,"degrees F",19360714,19360714,"Collegeville (South side of Renssalaer)",121719,E,
"Indiana","All-Time Minimum Temperature",-36,"degrees F",19940119,19940119,"New Whiteland",126304,E,
"Indiana","All-Time Greatest 24-Hour Precipitation",10.5,"inches",19050806,19050806,"Princeton",127125,E,
"Indiana","All-Time Maximum 24-Hour Snowfall",33,"inches",20041223,20041223,"Salem",127755,N,
"Indiana","All-Time Maximum Snow Depth",47,"inches",19180128,19180128,"Hammond",123650,N,
"Iowa","All-Time Maximum Temperature",118,"degrees F",19340720,19340720,"Keokuk No. 2",134372,EA,"The value of 118 degrees F is confirmed as a valid observation, but the station sits on a bluff above the river and the observation is characteristic more of the local microclimate than the area climate. If this value is in doubt, the next highest value is 117 degrees F on July 25, 1936 at both Logan and Atlantic."
"Iowa","All-Time Minimum Temperature",-47,"degrees F",19960203,19960203,"Elkader",132603,E1,
"Iowa","All-Time Minimum Temperature",-47,"degrees F",19120112,19120112,"Washta",138693,E1,
"Iowa","All-Time Greatest 24-Hour Precipitation",13.18,"inches",19980614,19980614,"Atlantic 1NE",130364,NA,"Previously reported record of 16.70 inches in Decatur Co. on August 5-6, 1959 is likely valid, but was estimated from a post-event survey observation. A 13.52 inch observation was made at Atlantic 5SW on June 14, 1998, but it is likely that the observation covered more than a 24-hr period."
"Iowa","All-Time Maximum 24-Hour Snowfall",24,"inches",19180420,19180420,"Lenox",134746,N,"State climatologist reports a greater 24-hr snow fall that spanned 2 observational days."
"Iowa","All-Time Maximum Snow Depth",52,"inches",19690301,19690301,"Lake Park",134561,E1,
"Iowa","All-Time Maximum Snow Depth",52,"inches",19690228,19690228,"Lake Park",134561,E1,"Possible issues with reporting of snow depth at Lake Park. State climatologist is investigating."
"Kansas","All-Time Maximum Temperature",121,"degrees F",19360724,19360724,"Alton",140201,E1,
"Kansas","All-Time Maximum Temperature",121,"degrees F",19360718,19360718,"Fredonia",142894,E1,
"Kansas","All-Time Minimum Temperature",-40,"degrees F",19050213,19050213,"Lebanon",144598,E,
"Kansas","All-Time Greatest 24-Hour Precipitation",,"inches",19691231,19691231,"Under Review",,,"The previously posted value of 13.53\" was discovered to be in error. An investigation to determine the legitimate record is underway."
"Kansas","Maximum Annual Precipitation Total",75.33,"inches",20190101,20191231,"Farlington 0.8 NNE",CoCoRaHS KS-CR-10,NS,
"Kansas","All-Time Maximum 24-Hour Snowfall",30,"inches",20090328,20090328,"Pratt",146549,NSA,"The 30.0 inches observed at Pratt in 2009 was formally evaluated by the State Climate Extremes Committee."
"Kansas","All-Time Maximum Snow Depth",40,"inches",19181231,19181231,"Syracuse",148038,N,
"Kansas","Hail: Weight",1.65,"pounds",19700903,19700903,"Coffeyville",,EA,"The Coffeyville hailstone held the record for the nation's largest hailstone until June 22, 2003, when the record was eclipsed by a hailstone that fell near Aurora, Nebraska. It also held the U.S. record for all-time heaviest hailstone until July 23, 2010 when a heavier hailstone fell in Vivian, SD."
"Kansas","Hail: Circumference",17.6,"inches",19700903,19700903,"Coffeyville",,EA,"The Coffeyville hailstone held the record for the nation's largest hailstone until June 22, 2003, when the record was eclipsed by a hailstone that fell near Aurora, Nebraska. It also held the U.S. record for all-time heaviest hailstone until July 23, 2010 when a heavier hailstone fell in Vivian, SD."
"Kansas","Hail: Diameter",7.75,"inches",20100915,20100915,"Wichita",,NSA,"The Wichita hailstone would have set the National record for diameter but for the the record for the Vivian, SD hailstone that fell two months prior."
"Kentucky","All-Time Maximum Temperature",114,"degrees F",19300728,19300728,"Greensburg",153430,E,
"Kentucky","All-Time Minimum Temperature",-37,"degrees F",19940119,19940119,"Shelbyville",157324,E,
"Kentucky","All-Time Greatest 24-Hour Precipitation",10.48,"inches",19970301,19970301,"Louisville",154958,NSA,"Historical value was examined retroactively and found to be valid and exceeded prior stated record."
"Kentucky","All-Time Maximum 24-Hour Snowfall",26,"inches",19420303,19420303,"Simers",157396,N,
"Kentucky","All-Time Maximum Snow Depth",31,"inches",19780120,19780120,"La Grange",154595,E,
"Kentucky","Maximum Wind Gust",120.1,"mph",20211210,20211210,"Princeton 2 SE",Kentucky Mesonet,SA,"An EF-4 tornado caused extensive damage along a 163-mile long path in western Kentucky on December 10, 2021. Two Kentucky Mesonet sites were situated along the path of the tornado with one station measuring a wind gust of 120.1 mph, exceeding the previous record of 100.8 mph set at Kentucky Mesonet station Murray 1W (MRRY) on April 26, 2011."
"Louisiana","All-Time Maximum Temperature",114,"degrees F",19360810,19360810,"Plain Dealing 4W",167344,E,
"Louisiana","All-Time Minimum Temperature",-16,"degrees F",18990213,18990213,"Minden",166244,E,
"Louisiana","All-Time Greatest 24-Hour Precipitation",22,"inches",19620828,19620829,"Hackberry",163979,E,
"Louisiana","All-Time Maximum 24-Hour Snowfall",13,"inches",19600213,19600213,"Colfax",161941,NA,"The 13.0 inches observed at Colfax on February 13, 1960 is the greatest 24-hr snowfall that could be confirmed for Louisiana. It is likely that higher 24-hr amounts fell during the Valentine's Day blizzard of February 13-15, 1895 (in which storm totals of 14 to 24 inches were prevalent from Galveston, TX to Lake Charles, LA) as well as the blizzard of December 21-22, 1929. However, all reported snow falls from these events appear to be accumulated amounts from which daily totals cannot be reliably extracted."
"Louisiana","All-Time Maximum Snow Depth",24,"inches",18950215,18950215,"Rayne",167678,N,
"Maine","All-Time Maximum Temperature",105,"degrees F",19110710,19110710,"North Bridgton",175875,E1,
"Maine","All-Time Maximum Temperature",105,"degrees F",19110704,19110704,"North Bridgton",175875,E1,
"Maine","All-Time Minimum Temperature",-50,"degrees F",20090116,20090116,"Big Black River (nr. Saint Pamphile, PQ)",USGS BBRM1,NS,"The record minimum temperature of -50 degrees F was observed by an automated observing station operated by the US Geological Survey (USGS) at a river gage on the Big Black River near the Canadian border. The data are archived by the USGS, and the validity of the observation was confirmed by the State Climate Extremes Committee. The value also ties observations in NH and VT for the coldest temperature recorded for the Northeast region of the United States."
"Maine","All-Time Greatest 24-Hour Precipitation",13.32,"inches",19961020,19961021,"Portland",14764,E,
"Maine","All-Time Maximum 24-Hour Snowfall",40,"inches",19621230,19621230,"Orono",176430,N,
"Maine","All-Time Maximum Snow Depth",84,"inches",19690228,19690228,"Farmington",172765,E,
"Maryland","All-Time Maximum Temperature",109,"degrees F",19360710,19360710,"Cumberland",182280,E3,
"Maryland","All-Time Maximum Temperature",109,"degrees F",19360710,19360710,"Frederick",183348,E3,
"Maryland","All-Time Maximum Temperature",109,"degrees F",19180807,19180807,"Cumberland",182280,E3,
"Maryland","All-Time Maximum Temperature",109,"degrees F",19180806,19180806,"Cumberland",182280,E3,
"Maryland","All-Time Maximum Temperature",109,"degrees F",19180806,19180806,"Keedysville",184780,E3,
"Maryland","All-Time Maximum Temperature",109,"degrees F",18980703,18980703,"Boettcherville",180960,E3,
"Maryland","All-Time Minimum Temperature",-40,"degrees F",19120113,19120113,"Oakland",186620,E,
"Maryland","All-Time Greatest 24-Hour Precipitation",14.75,"inches",18970726,18970727,"Jewell (nr. Friendship)",184650,E,
